case_id,image_path,mask_path,model,checkpoint,threshold,stride,prediction_shape,target_shape,tp_voxels,fp_voxels,fn_voxels,tn_voxels,dice,iou,precision,recall,sensitivity,specificity,true_volume_ml,pred_volume_ml,abs_volume_error_ml
049.nii.gz,data/raw/images/049.nii.gz,data/raw/masks/049.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,33x650x650,33x650x650,375,23108,9431,13909586,0.022529964853254827,0.011393328067083916,0.015968998850232084,0.03824189271874363,0.03824189271874363,0.9983414549978633,49.03,117.415,68.385
050.nii.gz,data/raw/images/050.nii.gz,data/raw/masks/050.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,26x650x650,26x650x650,7307,455257,3958,10518478,0.030842350299369603,0.015662712583758107,0.015796732992623724,0.6486462494451842,0.6486462494451842,0.9585139426093303,56.325,2312.82,2256.495
051.nii.gz,data/raw/images/051.nii.gz,data/raw/masks/051.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,32x650x650,32x650x650,3458,5619,58060,13452863,0.09796727813584531,0.05150662079032426,0.38096287319598987,0.0562111902207484,0.0562111902207484,0.999582493776044,307.59,45.385,262.205
052.nii.gz,data/raw/images/052.nii.gz,data/raw/masks/052.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,30x650x650,30x650x650,92,4151,10615,12660142,0.012307692307692308,0.006191950464396285,0.021682771623851047,0.008592509573176426,0.008592509573176426,0.999672228050946,53.535,21.215,32.32
053.nii.gz,data/raw/images/053.nii.gz,data/raw/masks/053.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,33x650x650,33x650x650,520,22147,10312,13909521,0.031045702856801697,0.015767609691015493,0.022940839105307274,0.048005908419497784,0.048005908419497784,0.9984103123904474,54.16,113.335,59.175
054.nii.gz,data/raw/images/054.nii.gz,data/raw/masks/054.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,28x650x650,28x650x650,0,10395,0,11819605,0.0,0.0,0.0,1.0,1.0,0.9991213017751479,0.0,51.975,51.975
055.nii.gz,data/raw/images/055.nii.gz,data/raw/masks/055.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,32x650x650,32x650x650,0,7832,0,13512168,0.0,0.0,0.0,1.0,1.0,0.9994207100591715,0.0,39.16,39.16
056.nii.gz,data/raw/images/056.nii.gz,data/raw/masks/056.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,33x650x650,33x650x650,0,21545,0,13920955,0.0,0.0,0.0,1.0,1.0,0.998454724762417,0.0,107.725,107.725
057.nii.gz,data/raw/images/057.nii.gz,data/raw/masks/057.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,35x650x650,35x650x650,0,19773,0,14767727,0.0,0.0,0.0,1.0,1.0,0.9986628571428572,0.0,98.865,98.865
058.nii.gz,data/raw/images/058.nii.gz,data/raw/masks/058.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,34x650x650,34x650x650,22,30981,431,14333566,0.0013987792472024414,0.0006998791117897818,0.0007096087475405606,0.04856512141280353,0.04856512141280353,0.9978432316730907,2.265,155.015,152.75
059.nii.gz,data/raw/images/059.nii.gz,data/raw/masks/059.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,27x650x650,27x650x650,0,1561,0,11405939,0.0,0.0,0.0,1.0,1.0,0.9998631602016217,0.0,7.805,7.805
060.nii.gz,data/raw/images/060.nii.gz,data/raw/masks/060.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,29x650x650,29x650x650,0,10296,0,12242204,0.0,0.0,0.0,1.0,1.0,0.9991596816976127,0.0,51.48,51.48
061.nii.gz,data/raw/images/061.nii.gz,data/raw/masks/061.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,31x650x650,31x650x650,0,97868,0,12999632,0.0,0.0,0.0,1.0,1.0,0.9925277343004391,0.0,489.34,489.34
062.nii.gz,data/raw/images/062.nii.gz,data/raw/masks/062.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,23x650x650,23x650x650,0,9473,0,9708027,0.0,0.0,0.0,1.0,1.0,0.9990251607923849,0.0,47.365,47.365
063.nii.gz,data/raw/images/063.nii.gz,data/raw/masks/063.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,36x650x650,36x650x650,0,13078,0,15196922,0.0,0.0,0.0,1.0,1.0,0.9991401709401709,0.0,65.39,65.39
064.nii.gz,data/raw/images/064.nii.gz,data/raw/masks/064.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,26x650x650,26x650x650,0,18718,0,10966282,0.0,0.0,0.0,1.0,1.0,0.9982960400546199,0.0,93.59,93.59
065.nii.gz,data/raw/images/065.nii.gz,data/raw/masks/065.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,30x650x650,30x650x650,0,11502,0,12663498,0.0,0.0,0.0,1.0,1.0,0.9990925443786982,0.0,57.51,57.51
066.nii.gz,data/raw/images/066.nii.gz,data/raw/masks/066.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,29x650x650,29x650x650,2028,5201,25432,12219839,0.11692467352763124,0.06209240378432993,0.2805367270715175,0.07385287691187181,0.07385287691187181,0.9995745617192254,137.3,36.145,101.155
067.nii.gz,data/raw/images/067.nii.gz,data/raw/masks/067.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,28x650x650,28x650x650,82,1191,1004,11827723,0.069520983467571,0.036012296881862096,0.06441476826394343,0.07550644567219153,0.07550644567219153,0.9998993145101909,5.43,6.365,0.935
068.nii.gz,data/raw/images/068.nii.gz,data/raw/masks/068.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,26x650x650,26x650x650,99,1789,21732,10961380,0.008347738100257178,0.0041913632514817955,0.0524364406779661,0.004534835783976914,0.004534835783976914,0.9998368172560325,109.155,9.44,99.715
069.nii.gz,data/raw/images/069.nii.gz,data/raw/masks/069.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,34x650x650,34x650x650,449,57940,325,14306286,0.015178405422307861,0.007647239159314644,0.00768980458648033,0.5801033591731266,0.5801033591731266,0.9959663681147873,3.87,291.945,288.075
070.nii.gz,data/raw/images/070.nii.gz,data/raw/masks/070.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,34x650x650,34x650x650,5,3787,63712,14297496,0.00014812839769512214,7.406968475942166e-05,0.0013185654008438818,7.847199334557496e-05,7.847199334557496e-05,0.999735198583232,318.585,18.96,299.625
071.nii.gz,data/raw/images/071.nii.gz,data/raw/masks/071.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,29x650x650,29x650x650,36055,28638,170930,12016877,0.2654245098977466,0.1530198664816253,0.5573245946238388,0.17419136652414427,0.17419136652414427,0.9976225175926475,1034.925,323.465,711.46
072.nii.gz,data/raw/images/072.nii.gz,data/raw/masks/072.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,30x650x650,30x650x650,391,36232,492,12637885,0.02084999733375993,0.010534824195069379,0.010676350927013079,0.44280860702151753,0.44280860702151753,0.9971412604128556,4.415,183.115,178.7
073.nii.gz,data/raw/images/073.nii.gz,data/raw/masks/073.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,33x650x650,33x650x650,363,1506,7796,13932835,0.07239728759473474,0.037558199689601654,0.1942215088282504,0.044490746415001836,0.044490746415001836,0.9998919216918833,40.795,9.345,31.45
074.nii.gz,data/raw/images/074.nii.gz,data/raw/masks/074.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,33x650x650,33x650x650,0,2615,11922,13927963,0.0,0.0,0.0,0.0,0.0,0.999812283452991,59.61,13.075,46.535
075.nii.gz,data/raw/images/075.nii.gz,data/raw/masks/075.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,33x650x650,33x650x650,58461,23558,95748,13764733,0.49495402746499145,0.3288630623231533,0.7127738694692693,0.3791023870202128,0.3791023870202128,0.9982914488822436,771.045,410.095,360.95
076.nii.gz,data/raw/images/076.nii.gz,data/raw/masks/076.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,29x650x650,29x650x650,3545,49850,23022,12176083,0.08866711688051825,0.04639020113325569,0.0663919842681899,0.1334362178642677,0.1334362178642677,0.9959226015715937,132.835,266.975,134.14
077.nii.gz,data/raw/images/077.nii.gz,data/raw/masks/077.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,31x650x650,31x650x650,20641,29109,23892,13023858,0.4378519987696616,0.2802884223676706,0.41489447236180904,0.46349897828576564,0.46349897828576564,0.9977699323073443,222.665,248.75,26.085
078.nii.gz,data/raw/images/078.nii.gz,data/raw/masks/078.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,31x650x650,31x650x650,457,36661,10286,13050096,0.019096968304047137,0.009640536663572695,0.012312085780483862,0.042539327934468955,0.042539327934468955,0.9971986184201327,53.715,185.59,131.875
079.nii.gz,data/raw/images/079.nii.gz,data/raw/masks/079.nii.gz,sw_v10,models/best_model_slidingWindow_v10.pth,0.5,64,26x650x650,26x650x650,5,223,261,10984511,0.020242914979757085,0.010224948875255624,0.021929824561403508,0.018796992481203006,0.018796992481203006,0.9999796990987674,1.33,1.14,0.19
