case_id,image_path,mask_path,model,checkpoint,threshold,stride,prediction_shape,target_shape,tp_voxels,fp_voxels,fn_voxels,tn_voxels,dice,iou,precision,recall,sensitivity,specificity,true_volume_ml,pred_volume_ml,abs_volume_error_ml
049.nii.gz,data/raw/images/049.nii.gz,data/raw/masks/049.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,33x650x650,33x650x650,815,1524751,8991,12407943,0.00106163196932079,0.0005310978999150895,0.0005342279521174437,0.08311238017540282,0.08311238017540282,0.8905630885168367,49.03,7627.83,7578.8
050.nii.gz,data/raw/images/050.nii.gz,data/raw/masks/050.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,26x650x650,26x650x650,3107,1496692,8158,9477043,0.00411233409041576,0.002060403579147151,0.002071610929197846,0.2758100310696849,0.2758100310696849,0.8636114322060812,56.325,7498.995,7442.67
051.nii.gz,data/raw/images/051.nii.gz,data/raw/masks/051.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,32x650x650,32x650x650,1154,1185479,60364,12273003,0.0018491352408482628,0.00092542323678405,0.0009724995006880813,0.018758737280145647,0.018758737280145647,0.9119158460813039,307.59,5933.165,5625.575
052.nii.gz,data/raw/images/052.nii.gz,data/raw/masks/052.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,30x650x650,30x650x650,2707,1204874,8000,11459419,0.0044439410057392015,0.002226918650423131,0.002241671573169833,0.2528252545063977,0.2528252545063977,0.9048605397869427,53.535,6037.905,5984.37
053.nii.gz,data/raw/images/053.nii.gz,data/raw/masks/053.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,33x650x650,33x650x650,2388,1321677,8444,12609991,0.0035778041302063006,0.001792107970752918,0.0018035368354272637,0.22045790251107827,0.22045790251107827,0.9051314602099332,54.16,6620.325,6566.165
054.nii.gz,data/raw/images/054.nii.gz,data/raw/masks/054.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,28x650x650,28x650x650,0,1641872,0,10188128,0.0,0.0,0.0,1.0,1.0,0.8612111580726965,0.0,8209.36,8209.36
055.nii.gz,data/raw/images/055.nii.gz,data/raw/masks/055.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,32x650x650,32x650x650,0,1223198,0,12296802,0.0,0.0,0.0,1.0,1.0,0.909526775147929,0.0,6115.99,6115.99
056.nii.gz,data/raw/images/056.nii.gz,data/raw/masks/056.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,33x650x650,33x650x650,0,1167298,0,12775202,0.0,0.0,0.0,1.0,1.0,0.9162777120315582,0.0,5836.49,5836.49
057.nii.gz,data/raw/images/057.nii.gz,data/raw/masks/057.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,35x650x650,35x650x650,0,1574876,0,13212624,0.0,0.0,0.0,1.0,1.0,0.8934995097210482,0.0,7874.38,7874.38
058.nii.gz,data/raw/images/058.nii.gz,data/raw/masks/058.nii.gz,sw_v8,models/best_model_slidingWindow_v8_dice.pth,0.3,64,34x650x650,34x650x650,0,1433343,453,12931204,0.0,0.0,0.0,0.0,0.0,0.9002166236081096,2.265,7166.715,7164.45
