case_id,image_path,mask_path,model,checkpoint,threshold,stride,prediction_shape,target_shape,tp_voxels,fp_voxels,fn_voxels,tn_voxels,dice,iou,precision,recall,sensitivity,specificity,true_volume_ml,pred_volume_ml,abs_volume_error_ml
067.nii.gz,data/raw/images/067.nii.gz,data/raw/masks/067.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,28x650x650,28x650x650,0,86845,1086,11742069,0.0,0.0,0.0,0.0,0.0,0.9926582440281501,5.43,434.225,428.795
068.nii.gz,data/raw/images/068.nii.gz,data/raw/masks/068.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,26x650x650,26x650x650,3679,100929,18152,10862240,0.05819406986768323,0.02996904529162594,0.0351693943101866,0.16852182676011176,0.16852182676011176,0.9907938115338731,109.155,523.04,413.885
069.nii.gz,data/raw/images/069.nii.gz,data/raw/masks/069.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,34x650x650,34x650x650,363,578619,411,13785607,0.0012522509469500964,0.0006265177521992845,0.0006269624962434065,0.4689922480620155,0.4689922480620155,0.9597180523336238,3.87,2894.91,2891.04
070.nii.gz,data/raw/images/070.nii.gz,data/raw/masks/070.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,34x650x650,34x650x650,6516,192051,57201,14109232,0.04968659925881869,0.02547621281786619,0.032815120337216154,0.1022647017279533,0.1022647017279533,0.9865710649876658,318.585,992.835,674.25
071.nii.gz,data/raw/images/071.nii.gz,data/raw/masks/071.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,167744,400734,39241,11644781,0.4326292808296463,0.2760223063619864,0.2950756229792534,0.8104162137352948,0.8104162137352948,0.9667316839504164,1034.925,2842.39,1807.465
072.nii.gz,data/raw/images/072.nii.gz,data/raw/masks/072.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,30x650x650,30x650x650,486,517824,397,12156293,0.0018721361805725423,0.0009369451347292403,0.00093766278867859,0.5503963759909399,0.5503963759909399,0.9591431892257267,4.415,2591.55,2587.135
073.nii.gz,data/raw/images/073.nii.gz,data/raw/masks/073.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,33x650x650,33x650x650,3078,125084,5081,13809257,0.04515811943867783,0.023100650690843046,0.024016479143583902,0.377252114229685,0.377252114229685,0.9910233286238653,40.795,640.81,600.015
074.nii.gz,data/raw/images/074.nii.gz,data/raw/masks/074.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,33x650x650,33x650x650,7944,251114,3978,13679464,0.05863163333087313,0.030201189190833193,0.03066494761790796,0.6663311524911928,0.6663311524911928,0.9819738994318828,59.61,1295.29,1235.68
075.nii.gz,data/raw/images/075.nii.gz,data/raw/masks/075.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,33x650x650,33x650x650,115100,262093,39109,13526198,0.4331937026958875,0.2764819770262934,0.30514882301633384,0.7463896400339799,0.7463896400339799,0.9809916254305918,771.045,1885.965,1114.92
076.nii.gz,data/raw/images/076.nii.gz,data/raw/masks/076.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,14285,456003,12282,11769930,0.057501685602439345,0.02960192303707234,0.03037500425271323,0.5376971430722325,0.5376971430722325,0.9627019876519853,132.835,2351.44,2218.605
